TP_SEXO,media_nota_ciencias_humanas,media_nota_matematica,media_nota_ciencias_da_natureza,media_nota_linguagens_e_codigos,media_nota_redacao,media_nota_soma
F,517.49,518.86,484.78,501.28,634.9,2657.31
M,535.99,558.8,507.03,510.15,606.22,2718.18
