TP_LOCALIZACAO_ESC,media_nota_ciencias_humanas,media_nota_matematica,media_nota_ciencias_da_natureza,media_nota_linguagens_e_codigos,media_nota_redacao,media_nota_soma
Rural,492.56,505.76,470.33,475.34,564.7,2508.7
Urbana,523.1,544.56,493.69,507.28,629.17,2697.81
